股票代號,進場日期,1週報酬率,4週報酬率,8週報酬率,5日均線偏離率,20日均線偏離率,成交量增幅,外資淨買賣超/成交量,融資融券比率,未來4週報酬%,是否獲利
1101,2024-05-17,1.801809,3.669727,7.96179,0.983026,3.495655,-1.274907,0.0,230.397436,0.147273,1
1101,2024-05-24,0.442471,6.406248,7.92393,0.383256,2.622061,-40.169663,0.0,177.204301,1.762121,1
1101,2024-07-26,1.159425,1.453488,2.798235,0.518438,1.838347,42.881475,0.0,276.792453,-6.12535,0
1101,2024-08-02,-1.719204,0.882351,4.892962,-0.924325,-0.406506,-11.866999,0.0,366.973684,-2.225519,0
1101,2024-08-09,0.583093,1.920241,4.545455,1.950356,0.443992,-6.178441,0.0,119.974576,-8.23699,0
1101,2024-10-04,3.206105,5.132185,0.0,1.076555,4.668265,21.634241,0.0,201.936709,-5.029588,0
1101,2024-10-11,-3.560833,3.011096,-5.660379,-1.693889,-0.115251,-40.572932,0.0,333.104167,-1.996927,0
1101,2024-11-15,3.918501,2.000005,4.24529,1.905937,2.742915,416.339597,0.0,450.0,-1.353386,0
1101,2024-11-22,0.603309,4.218745,3.571421,-0.02998,2.50499,-74.472186,0.0,333.25,-6.047201,0
1101,2024-11-29,0.44978,4.361376,-0.887572,-0.297621,1.769575,101.036902,0.0,391.075,-5.059521,0
1101,2024-12-06,0.597017,5.642637,3.85208,0.178363,1.254415,-67.451256,0.0,54.261589,-6.804732,0
1101,2024-12-13,-2.670628,-1.055814,0.923075,-1.204822,-1.943201,90.792936,0.0,17.916031,-7.774388,0
1101,2025-02-14,5.929482,5.087435,-0.301666,2.607884,5.095792,282.739388,0.0,136.737705,1.957824,1
1101,2025-02-21,3.479581,11.038966,5.718709,1.694917,6.186449,6.52457,0.0,110.109091,-1.470588,0
1101,2025-02-27,3.387327,10.377356,8.837205,1.152733,6.824921,-23.344043,0.0,110.109091,-3.343028,0
1101,2025-03-07,-1.709397,9.52381,8.832805,-0.890548,2.411874,-57.846015,0.0,66.195122,-14.244607,0
1101,2025-03-14,-1.884062,1.195808,7.460313,-1.196735,-1.290374,30.047049,0.0,70.035714,-11.764706,0
1101,2025-12-05,-0.656453,4.36782,-2.991448,-0.569423,3.890163,-56.666457,0.0,117.496732,1.321582,1
1101,2026-01-02,1.76991,0.436683,9.004737,-0.776531,1.221256,151.093999,0.0,162.364486,14.782607,1
1101,2026-01-09,2.826085,4.415011,6.292133,1.198115,3.376678,7.1029,0.0,148.852018,6.289308,1
1101,2026-01-16,5.708247,11.607145,22.549022,0.120142,6.349037,13.350712,0.0,94.596107,4.400002,1
1101,2026-01-23,2.800003,13.716816,17.084282,-0.848764,5.500823,4.142962,0.0,110.040541,1.556419,1
1101,2026-01-30,2.723731,14.782607,15.283843,0.342074,5.001489,10.019682,0.0,107.893557,0.380954,1
1101,2026-02-06,-3.97727,7.188164,11.920533,-1.24659,-1.428987,-34.22538,0.0,105.645062,-1.565556,0
1101,2026-02-26,3.52941,2.127657,17.333332,0.533129,1.606849,147.183316,0.0,105.645062,-12.452107,0
1101,2026-04-10,7.172991,1.599998,-3.787879,2.750807,6.365158,68.344424,0.0,241.037594,-1.960784,0
1101,2026-04-30,-0.203663,6.521739,-5.405404,0.245499,-0.679031,-37.669585,0.0,138.521739,-3.665986,0
1101,2026-05-08,2.040816,-0.398408,3.092784,0.725221,0.897992,30.094595,0.0,300.233645,-2.982107,0
1101,2026-05-15,-3.599998,-3.599998,-1.431494,-2.586903,-2.369859,9.386265,0.0,342.582418,1.867215,1
1101,2026-06-05,0.0,-2.400002,-2.788848,-0.732304,0.11283,-36.633749,0.0,397.156627,-0.838578,0
1101,2026-06-12,0.614753,1.867215,-1.800003,1.867217,1.393905,-3.60191,0.0,428.92,-9.018036,0
1101,2026-06-18,1.030928,1.239666,0.0,-0.366002,0.812674,1.322735,0.0,428.92,-2.443986,0
1101,2026-06-26,-1.428573,2.114165,-1.428573,-0.576371,-0.953554,6.424259,0.0,0.0,-3.643731,0
1101,2026-07-31,2.10084,2.748413,-0.613503,-0.328139,2.629075,104.285341,0.0,162.926702,0.206182,1
1101,2026-08-07,0.205766,7.268721,0.412373,1.373858,1.872192,-25.461014,0.0,591.37037,-0.612243,0
1102,2023-09-15,2.275604,1.889169,1.889169,0.923155,1.226229,70.688074,0.0,285.833333,0.995019,1
1102,2023-09-22,-1.977748,0.12627,-0.125943,-0.874996,-0.967839,-64.723766,0.0,239.857143,-1.889169,0
1102,2023-11-10,0.248443,-0.615764,1.001246,-0.074299,1.381906,-35.124253,0.0,227.0,3.465341,1
1102,2023-11-17,2.726152,6.418485,2.853602,1.270465,3.340815,161.815282,0.0,13.198276,1.684719,1
1102,2023-11-24,0.361876,5.583748,4.654084,0.024042,2.104679,-53.290318,0.0,1517.0,-3.245189,0
1102,2023-12-01,-0.12019,3.229812,6.265987,-0.669377,0.892368,24.753881,0.0,1568.0,-0.480194,0
1102,2023-12-08,0.601685,3.593558,2.955667,0.263852,0.698626,16.233412,0.0,1442.0,-1.083034,0
1102,2023-12-15,1.076557,1.930034,8.472398,0.213473,1.034257,336.839566,0.0,1479.0,-3.558719,0
1102,2024-03-01,-0.618812,1.006293,-1.472389,-0.198854,0.36873,-41.381987,0.0,732.5,2.624998,1
1102,2024-03-08,0.622665,1.507543,-1.8226,0.572571,0.855025,177.805454,0.0,735.0,3.985052,1
1102,2024-03-15,1.732666,4.846933,0.243899,0.933199,1.953485,51.32283,0.0,730.5,1.579581,1
1102,2024-03-22,0.364967,2.103957,3.254066,0.634303,1.782741,-52.461736,0.0,732.5,2.189785,1
1102,2024-03-29,-0.48485,2.241588,3.270438,-0.412422,0.674432,-56.608908,0.0,727.0,3.510898,1
1102,2024-04-03,-0.121357,2.875004,2.618462,0.072962,0.488405,70.798064,0.0,727.0,5.542167,1
1102,2024-04-12,1.579581,3.593558,4.369538,-0.523561,1.08827,-3.305812,0.0,718.5,10.047849,1
1102,2024-04-19,0.478471,3.194101,4.47761,0.454435,1.028324,66.646916,0.0,0.0,5.687198,1
1102,2024-04-26,1.785714,3.762134,6.608483,0.210969,2.022552,-23.890275,0.0,0.0,2.325581,1
1102,2024-05-03,3.411767,6.934312,9.737832,0.895319,3.576269,135.888224,0.0,581.0,-5.782311,0
1102,2024-05-10,4.66439,9.393581,13.300497,3.580273,6.821479,268.269717,0.0,0.0,-9.21052,0
1102,2024-05-17,-3.043482,5.812567,9.987668,-1.913351,1.392438,-53.152332,0.0,0.0,-6.278025,0
1102,2024-05-24,-1.345288,3.529412,5.769235,-0.856242,-1.023507,-59.068417,0.0,0.0,1.712329,1
1102,2024-06-28,-1.57127,4.404758,0.114154,-0.182109,3.225044,-64.707638,0.0,0.0,-7.1267,0
1102,2024-07-05,2.052455,10.221679,2.991943,-0.378452,3.10466,-8.996957,0.0,445.8,-7.3743,0
1102,2024-07-12,2.122907,9.330147,-0.109288,1.827095,3.30602,67.666468,0.0,0.0,-5.147869,0
