股票代號,進場日期,大戶相關係數,散戶相關係數,均張相關係數,大戶四週成長率,散戶衰退率,外資買賣超,融資餘額,融券餘額,是否獲利
1101,2024-05-17,0.633,-0.869,0.607,0.294,0.925,18903302.0,17971.0,78.0,1
1101,2024-05-24,0.63,-0.863,0.607,0.659,1.151,20422820.0,16480.0,93.0,0
1101,2024-07-26,0.599,-0.847,0.585,0.158,1.167,11651201.0,14670.0,53.0,0
1101,2024-08-02,0.599,-0.846,0.567,0.112,0.637,4015469.0,13945.0,38.0,1
1101,2024-08-09,0.599,-0.846,0.551,0.911,0.953,25525491.0,14157.0,118.0,0
1101,2024-10-04,0.551,-0.767,0.256,0.608,0.898,20472209.0,15953.0,79.0,0
1101,2024-10-11,0.542,-0.752,0.222,0.113,0.827,-3908812.0,15989.0,48.0,1
1101,2024-11-15,0.5,-0.672,0.075,0.162,0.358,10242221.0,15750.0,35.0,1
1101,2024-11-22,0.496,-0.663,0.064,0.398,0.841,6413394.0,15996.0,48.0,0
1101,2024-11-29,0.491,-0.653,0.055,0.286,0.909,-643215.0,15643.0,40.0,1
1101,2024-12-06,0.486,-0.645,0.048,0.183,0.608,4989524.0,16387.0,302.0,0
1101,2024-12-13,0.473,-0.626,0.029,0.059,0.449,5036216.0,16429.0,917.0,0
1101,2025-02-14,0.365,-0.425,-0.169,0.147,0.29,1087822.0,16682.0,122.0,1
1101,2025-02-21,0.366,-0.424,-0.161,0.561,0.548,585406.0,18168.0,165.0,1
1101,2025-02-27,0.37,-0.429,-0.143,0.687,0.922,0.0,18168.0,165.0,1
1101,2025-03-07,0.371,-0.429,-0.131,0.298,1.015,11205273.0,16284.0,246.0,0
1101,2025-03-14,0.366,-0.423,-0.126,0.082,0.443,9234179.0,15688.0,224.0,0
1101,2025-12-05,0.719,-0.232,-0.134,0.011,0.388,-4793048.0,35954.0,306.0,0
1101,2026-01-02,0.751,-0.249,-0.116,0.54,0.603,5820370.0,34746.0,214.0,1
1101,2026-01-09,0.756,-0.25,-0.115,0.73,1.149,19233068.0,33194.0,223.0,1
1101,2026-01-16,0.759,-0.249,-0.117,0.715,1.182,-3848600.0,38879.0,411.0,1
